Adelanto,City,San Bernardino,31765
Agoura Hills,City,Los Angeles,20330
Alameda,City,Alameda,73812
Albany,City,Alameda,18539
Alhambra,City,Los Angeles,83089
Aliso Viejo,City,Orange,47823
Altadena,Town,Los Angeles,42777
Alturas,City,Modoc,2827
Amador City,City,Amador,185
American Canyon,City,Napa,19454
Anaheim,City,Orange,336265
Anderson,City,Shasta,9932
Angels Camp,City,Calaveras,3836
Antioch,City,Contra Costa,102372
Apple Valley,Town,San Bernardino,69135
Arcadia,City,Los Angeles,56364
Arcata,City,Humboldt,17231
Arden Arcade,Town,Sacramento,92196
Arroyo Grande,City,San Luis Obispo,17252
Artesia,City,Los Angeles,16522
Arvin,City,Kern,19304
Atascadero,City,San Luis Obispo,28310
Atherton,Town,San Mateo,6914
Atwater,City,Merced,28168
Auburn,City,Placer,13330
Avalon,City,Los Angeles,3728
Avenal,City,Kings,15505
Azusa,City,Los Angeles,46361
Bakersfield,City,Kern,347483
Baldwin Park,City,Los Angeles,75390
Banning,City,Riverside,29603
Barstow,City,San Bernardino,22639
Beaumont,City,Riverside,36877
Bell,City,Los Angeles,35477
Bell Gardens,City,Los Angeles,42072
Bellflower,City,Los Angeles,76616
Belmont,City,San Mateo,25835
Belvedere,City,Marin,2068
Benicia,City,Solano,26997
Berkeley,City,Alameda,112580
Beverly Hills,City,Los Angeles,34109
Big Bear Lake,City,San Bernardino,5019
Biggs,City,Butte,1707
Bishop,City,Inyo,3879
Blue Lake,City,Humboldt,1253
Blythe,City,Riverside,20817
Bradbury,City,Los Angeles,1048
Brawley,City,Imperial,24953
Brea,City,Orange,39282
Brentwood,City,Contra Costa,51481
Brisbane,City,San Mateo,4282
Buellton,City,Santa Barbara,4828
Buena Park,City,Orange,80530
Burbank,City,Los Angeles,103340
Burlingame,City,San Mateo,28806
Calabasas,City,Los Angeles,23058
Calexico,City,Imperial,38572
California City,City,Kern,14120
Calimesa,City,Riverside,7879
Calipatria,City,Imperial,7705
Calistoga,City,Napa,5155
Camarillo,City,Ventura,65201
Campbell,City,Santa Clara,39349
Canyon Lake,City,Riverside,10561
Capitola,City,Santa Cruz,9918
Carlsbad,City,San Diego,105328
Carmel by the Sea,City,Monterey,3722
Carpinteria,City,Santa Barbara,13040
Carson,City,Los Angeles,91714
Castro Valley,Town,Alameda,61388
Cathedral City,City,Riverside,51200
Ceres,City,Stanislaus,45417
Cerritos,City,Los Angeles,49041
Chico,City,Butte,86187
Chino,City,San Bernardino,77983
Chino Hills,City,San Bernardino,74799
Chowchilla,City,Madera,18720
Chula Vista,City,San Diego,243916
Citrus Heights,City,Sacramento,83301
Claremont,City,Los Angeles,34926
Clayton,City,Contra Costa,10897
Clearlake,City,Lake,15250
Cloverdale,City,Sonoma,8618
Clovis,City,Fresno,95631
Coachella,City,Riverside,40704
Coalinga,City,Fresno,13380
Colfax,City,Placer,1963
Colma,Town,San Mateo,1792
Colton,City,San Bernardino,52154
Colusa,City,Colusa,5971
Commerce,City,Los Angeles,12823
Compton,City,Los Angeles,96455
