OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
1,San Bernardino,Adelanto,122818.299432442,202527216.582133
2,Los Angeles,Agoura Hills,29626.9407231508,29643180.1552182
3,Alameda,Alameda,52137.8769118302,43583052.4593612
4,Alameda,Albany,16774.017561212,7558117.21423603
5,Los Angeles,Alhambra,25461.4876329188,28883376.6114472
6,Orange,Aliso Viejo,33775.3696308582,25901253.5296592
7,Modoc,Alturas,23764.8127344721,13359025.0748541
8,Amador,Amador City,4628.80717539254,1307710.11049111
9,Napa,American Canyon,34793.6440438085,25657660.1451823
10,Orange,Anaheim,147822.69035467,196108999.613739
11,Shasta,Anderson,47510.5481526246,32458888.4386541
12,Calaveras,Angels Camp,30295.3811127137,14886738.2873216
13,Contra Costa,Antioch,74914.6180628467,124941447.462185
14,San Bernardino,Apple Valley,105049.496705671,294405037.768562
15,Los Angeles,Arcadia,48662.39865065,42082448.1645364
16,Humboldt,Arcata,75159.8543906088,51385121.6257043
17,San Luis Obispo,Arroyo Grande,31484.2368777697,23011217.5747408
18,Los Angeles,Artesia,15055.458766805,6128534.54466668
19,Kern,Arvin,26421.7606989486,18685857.6241397
20,San Luis Obispo,Atascadero,57267.5375667309,102461859.826455
21,San Mateo,Atherton,30997.3733329307,20737664.7625888
22,Merced,Atwater,45442.5725787282,27568274.0133198
23,Placer,Auburn,59836.9229745271,30627246.3043039
24,Los Angeles,Avalon,20901.4057551505,10948557.59694
25,Kings,Avenal,55421.4830221233,77458981.5223702
26,Los Angeles,Azusa,58591.2627191578,36615279.440498
27,Kern,Bakersfield,536308.402107617,591957825.162409
28,Los Angeles,Baldwin Park,32301.76398319,25658138.7550907
29,Riverside,Banning,98557.2975789747,87707280.4799354
30,San Bernardino,Barstow,124528.363805012,159114428.789533
31,Riverside,Beaumont,95506.7991222664,114352990.64054
32,Los Angeles,Bell,24187.7973649777,9896026.34888422
33,Los Angeles,Bell Gardens,14226.2157586177,9285293.38072708
34,Los Angeles,Bellflower,21825.9089684598,23316766.07868
