URL,"ID","Date added","City_Names","Website","Missing_as_of_2020","Found_after_2020","GP_Last_Updated","GP_Last_Searched_For","Last_Update_Land_Use_(OPR)","Last_Update_Circulation_(OPR)","Last_Update_Conservation_(OPR)","Last_Update_Housing_(OPR)","Last_Update_Noise_(OPR)","Last_Update_Open_Space_(OPR)","Last_Update_Safety_(OPR)","Priority","structured_metadata","unstructured_metadata","file_format"
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/pswuo6swf2na,"1552","2021-05-25","Berkeley","https://www.cityofberkeley.info/Planning_and_Development/Home/General_Plan__A_Guide_for_Public_Decision-Making.aspx","0","1","2010","","2001","2001","2002","2015","2001","2002","2019","yes","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/aze35r2zvt4p,"1599","2021-05-25","Colma","https://www.colma.ca.gov/current-general-plan/","0","1","2015","","1999","2014","1999","2015","1999","1999","1999","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/qrs1tzf3lii9,"1648","2021-05-25","Etna","http://www.cityofetna.org/city/","0","1","2010","","","","","","","","","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/5l5sik1sowgw,"1655","2021-05-25","Fillmore","http://www.fillmoreca.com/departments/planning-department/document-download-page","0","1","2014","","","","","","","","","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/3epcyxa1nwxf,"1750","2021-05-25","Long Beach","http://www.lbds.info/planning/advance_planning/general_plan.asp","0","1","2014","","","","","","","","","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/ngbc3jkfvt3d,"1830","2021-05-25","Petaluma","http://cityofpetaluma.net/cdd/plan-general-plan.html","0","1","2012","","","","","","","","","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/t8tdwf1papot,"1834","2021-05-25","Pismo Beach","http://www.pismobeach.org/documentcenter/view/247","0","1","2014","","","","","","","","","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/nhjxriwzpch2,"1854","2021-05-25","Redding","https://www.cityofredding.org/departments/development-services/planning/general-plan-and-development-guidelines","0","1","2000","","2008","2009","2009","2020","2000","2009","2013","yes","no","1, 2, 3, 6","PDF"
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/ydbeul00owr9,"1861","2021-05-25","Ridgecrest","https://ridgecrest-ca.gov/planning-department","0","1","2015","","","","","","","","","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/ahi26zhvuylt,"1891","2021-05-25","San Juan Capistrano","http://sanjuancapistrano.org/Departments/Development-Services/Planning-Zoning","0","","2017","","2002","2002","2002","2012","2002","2002","2002","","","",""
https://www.obvibase.com/app/r/WhhQvyw9iWjSqjzI/1/xia51ftyw43v,"1923","2021-05-25","Signal Hill","http://www.cityofsignalhill.org/index.aspx?NID=85","0","1","2016","","2001","2009","1987","2014","2009","1987","2016","","","",""
