,CITY,year_updated,last_updated_color
0,ADELANTO,2014.0,2.0
1,AGOURA HILLS,2010.0,3.0
2,ALAMEDA,2014.0,2.0
3,ALBANY,2016.0,2.0
4,ALHAMBRA,2019.0,1.0
5,ALISO VIEJO,,0.0
6,ALTURAS,,0.0
7,AMADOR CITY,,0.0
8,AMERICAN CANYON,2015.0,2.0
9,ANAHEIM,2014.0,2.0
10,ANDERSON,2007.0,4.0
11,ANGELS CAMP,2009.0,3.0
12,ANTIOCH,2003.0,4.0
13,APPLE VALLEY,2009.0,3.0
14,ARCADIA,2010.0,3.0
15,ARCATA,2014.0,2.0
16,ARROYO GRANDE,2014.0,2.0
17,ARTESIA,,0.0
18,ARVIN,2012.0,3.0
19,ATASCADERO,2015.0,2.0
20,ATHERTON,2014.0,2.0
21,ATWATER,2000.0,4.0
22,AUBURN,1993.0,4.0
23,AVALON,2013.0,2.0
24,AVENAL,2018.0,1.0
25,AZUSA,2004.0,4.0
26,BAKERSFIELD,2002.0,4.0
27,BALDWIN PARK,2014.0,2.0
28,BANNING,2006.0,4.0
29,BARSTOW,2014.0,2.0
30,BEAUMONT,2007.0,4.0
31,BELL,1996.0,4.0
32,BELL GARDENS,2013.0,2.0
33,BELLFLOWER,,0.0
34,BELMONT,2015.0,2.0
35,BELVEDERE,2010.0,3.0
36,BENICIA,1999.0,4.0
37,BERKELEY,2010.0,3.0
38,BEVERLY HILLS,2013.0,2.0
39,BIG BEAR LAKE,2013.0,2.0
40,BIGGS,2014.0,2.0
41,BISHOP,2015.0,2.0
42,BLUE LAKE,,0.0
43,BLYTHE,2007.0,4.0
44,BRADBURY,2012.0,3.0
45,BRAWLEY,2008.0,3.0
46,BREA,2003.0,4.0
47,BRENTWOOD,2014.0,2.0
48,BRISBANE,1994.0,4.0
49,BUELLTON,2007.0,4.0
50,BUENA PARK,2010.0,3.0
51,BURBANK,2014.0,2.0
52,BURLINGAME,2015.0,2.0
53,CALABASAS,2015.0,2.0
54,CALEXICO,2014.0,2.0
55,CALIFORNIA CITY,,0.0
56,CALIMESA,2014.0,2.0
57,CALIPATRIA,2017.0,2.0
58,CALISTOGA,2015.0,2.0
59,CAMARILLO,2016.0,2.0
60,CAMPBELL,2001.0,4.0
61,CANYON LAKE,2020.0,1.0
62,CAPITOLA,2015.0,2.0
63,CARLSBAD,2015.0,2.0
64,CARMEL-BY-THE-SEA,2015.0,2.0
65,CARPINTERIA,2014.0,2.0
66,CARSON,2013.0,2.0
67,CATHEDRAL CITY,2009.0,3.0
68,CERES,1997.0,4.0
69,CERRITOS,2004.0,4.0
70,CHICO,2011.0,3.0
71,CHINO,2013.0,2.0
72,CHINO HILLS,2015.0,2.0
73,CHOWCHILLA,2020.0,1.0
74,CHULA VISTA,2013.0,2.0
75,CITRUS HEIGHTS,2000.0,4.0
76,CLAREMONT,2009.0,3.0
77,CLAYTON,2017.0,2.0
78,CLEARLAKE,2017.0,2.0
79,CLOVERDALE,2014.0,2.0
80,CLOVIS,2016.0,2.0
81,COACHELLA,2015.0,2.0
82,COALINGA,2009.0,3.0
83,COLFAX,1998.0,4.0
84,COLMA,2015.0,2.0
85,COLTON,2014.0,2.0
86,COLUSA,2009.0,3.0
87,COMMERCE,2008.0,3.0
88,COMPTON,2014.0,2.0
89,CONCORD,2014.0,2.0
90,CORCORAN,2010.0,3.0
91,CORNING,2015.0,2.0
92,CORONA,2008.0,3.0
93,CORONADO,2003.0,4.0
94,CORTE MADERA,2015.0,2.0
95,COSTA MESA,2015.0,2.0
96,COTATI,2015.0,2.0
97,COVINA,2010.0,3.0
98,CRESCENT CITY,2016.0,2.0
99,CUDAHY,1992.0,4.0
100,CULVER CITY,2014.0,2.0
101,CUPERTINO,2019.0,1.0
102,CYPRESS,2011.0,3.0
103,DALY CITY,2013.0,2.0
104,DANA POINT,2013.0,2.0
105,DANVILLE,2015.0,2.0
106,DAVIS,2007.0,4.0
107,DEL MAR,2013.0,2.0
108,DEL REY OAKS,,0.0
109,DELANO,,0.0
110,DESERT HOT SPRINGS,2009.0,3.0
111,DIAMOND BAR,2019.0,1.0
112,DINUBA,2015.0,2.0
113,DIXON,2015.0,2.0
114,DORRIS,2014.0,2.0
115,DOS PALOS,,0.0
116,DOWNEY,2013.0,2.0
117,DUARTE,2007.0,4.0
118,DUBLIN,2014.0,2.0
119,DUNSMUIR,2016.0,2.0
120,EAST PALO ALTO,2016.0,2.0
121,EASTVALE,,0.0
122,EL CAJON,2013.0,2.0
123,EL CENTRO,2013.0,2.0
124,EL CERRITO,2015.0,2.0
125,EL MONTE,2011.0,3.0
126,EL SEGUNDO,2009.0,3.0
127,ELK GROVE,2016.0,2.0
128,EMERYVILLE,2016.0,2.0
129,ENCINITAS,2016.0,2.0
130,ESCALON,2016.0,2.0
131,ESCONDIDO,2012.0,3.0
132,ETNA,2010.0,3.0
133,EUREKA,2014.0,2.0
134,EXETER,2003.0,4.0
135,FAIRFAX,2015.0,2.0
136,FAIRFIELD,2016.0,2.0
137,FARMERSVILLE,2016.0,2.0
138,FERNDALE,2016.0,2.0
139,FILLMORE,2014.0,2.0
140,FIREBAUGH,2010.0,3.0
141,FOLSOM,1993.0,4.0
142,FONTANA,2014.0,2.0
143,FORT BRAGG,,0.0
144,FORT JONES,2020.0,1.0
145,FORTUNA,2010.0,3.0
146,FOSTER CITY,2016.0,2.0
147,FOUNTAIN VALLEY,2014.0,2.0
148,FOWLER,2004.0,4.0
149,FREMONT,2014.0,2.0
150,FRESNO,2014.0,2.0
151,FULLERTON,2015.0,2.0
152,GALT,2016.0,2.0
153,GARDEN GROVE,2008.0,3.0
154,GARDENA,2013.0,2.0
