CITY,year_updated,last_updated_color,population,area
ADELANTO,2024,1,31765,137.266725151421
AGOURA HILLS,2022,1,20330,20.2596966340559
ALAMEDA,2022,1,73812,59.8239009020048
ALBANY,2023,1,18539,14.1554637664059
ALHAMBRA,2024,1,83089,19.7659735509746
ALISO VIEJO,2024,1,47823,17.9212134763816
ALTURAS,2019,2,2827,7.37412583191605
AMADOR CITY,2016,2,185,0.81263150294012
AMERICAN CANYON,2023,1,19454,15.7863480693653
ANAHEIM,2014,3,336265,131.895267936301
ANDERSON,2007.0,4,9932,17.1455122187651
ANGELS CAMP,2009,4,3836,0.0
ANTIOCH,2023,1,102372,78.0159527604596
APPLE VALLEY,2022,1,69135,193.658254772929
ARCADIA,2024,1,56364,28.8359189579591
ARCATA,2024,1,17231,28.4608179323488
ARROYO GRANDE,2014.0,2,17252,15.1067871968438
ARTESIA,2013,3,16522,4.19744506164065
ARVIN,2023,1,19304,12.4821020687269
ATASCADERO,2015,2,28310,67.6685090706075
ATHERTON,2023,1,6914,13.1112475235503
ATWATER,2017,2,28168,15.847570650459
AUBURN,2021,1,13330,18.6007316108187
AVALON,2013,3,3728,7.60792077383134
AVENAL,2018,2,15505,50.3023598726783
AZUSA,2021,1,46361,25.0423173760306
BAKERSFIELD,2016,2,347483,389.176729543094
BALDWIN PARK,2014,3,75390,17.5746843540841
BANNING,2021,1,29603,60.2658330856246
BARSTOW,2021,1,22639,107.211705126111
BEAUMONT,2020,1,36877,79.5190395969988
BELL,2018,2,35477,6.78342759959902
BELL GARDENS,2022,1,42072,6.37916689511009
BELLFLOWER,2022,1,76616,15.9836492194077
BELMONT,2017,2,25835,12.0240386601051
BELVEDERE,2015,2,2068,6.23369901305337
BENICIA,2023,1,26997,40.7145327505343
BERKELEY,2023,1,112580,45.8215750177279
BEVERLY HILLS,2024,1,34109,14.7899194076937
BIG BEAR LAKE,2022,1,5019,16.925807848991
BIGGS,2014,3,1707,1.64629522232144
BISHOP,2021,1,3879,4.94930406656811
BLUE LAKE,2021,1,1253,1.61133612726195
BLYTHE,2007,4,20817,70.8315166693242
BRADBURY,2021,1,1048,5.07312361941957
BRAWLEY,2008,4,24953,19.8950478154086
BREA,2021,1,39282,31.6580425825698
BRENTWOOD,2023,1,51481,38.4848329888856
