,COUNTY,year_updated,last_updated_color
5,ALAMEDA,2015,2
6,ALPINE,2017,2
7,AMADOR,2016,2
8,BUTTE,2012,3
10,CALAVERAS,2020,1
14,COLUSA,2020,1
17,CONTRA COSTA,2018,1
19,DEL NORTE,2014,2
22,EL DORADO,2019,1
23,FRESNO,2000,4
24,GLENN,2010,3
26,HUMBOLDT,2017,2
30,IMPERIAL,2016,2
33,INYO,2013,2
34,KERN,2015,2
36,KINGS,2016,2
38,LAKE,2012,3
42,LASSEN,2020,1
43,LOS ANGELES,2015,2
45,MADERA,2015,2
46,MARIN,2007,4
50,MARIPOSA,2019,1
53,MENDOCINO,2020,1
55,MERCED,2016,2
57,MODOC,2019,1
62,MONO,2020,1
64,MONTEREY,2013,2
69,NAPA,2019,1
75,NEVADA,2020,1
78,ORANGE,2020,1
80,PLACER,2021,1
82,PLUMAS,2013,2
85,RIVERSIDE,2017,2
88,SACRAMENTO,2017,2
91,SAN BENITO,2016,2
94,SAN BERNARDINO,2020,1
99,SAN DIEGO,2021,1
102,SAN FRANCISCO,2015,2
105,SAN JOAQUIN,2016,2
114,SAN LUIS OBISPO,2020,1
117,SAN MATEO,2015,2
122,SANTA BARBARA,2016,2
126,SANTA CLARA,2015,2
128,SANTA CRUZ,2016,2
130,SHASTA,2014,2
131,SIERRA,2012,3
139,SISKIYOU,2014,2
141,SOLANO,2015,2
145,SONOMA,2016,2
147,STANISLAUS,2016,2
148,SUTTER,2011,3
150,TEHAMA,2009,3
154,TRINITY,2009,3
155,TULARE,2012,3
156,TUOLUMNE,2013,2
158,YOLO,2013,2
160,YUBA,2014,2
