COUNTY,year_updated,last_updated_color,population,area
ALAMEDA,2022,1,1510271,2127.2239775320277
ALPINE,2021,1,1175,1924.8501319328027
AMADOR,2023,1,38091,1569.404727173105
BUTTE,2019,2,220000,4343.749633791765
CALAVERAS,2020,1,45578,2685.6280154408532
COLUSA,2020,1,21419,2994.9538026794194
CONTRA COSTA,2023,1,1049025,2081.749914870222
DEL NORTE,2023,1,28610,3184.8599850289183
EL DORADO,2024,1,181058,4626.619767721956
FRESNO,2024,1,930450,15568.555262209233
GLENN,2023,1,28122,3436.854681869341
HUMBOLDT,2023,1,134623,10495.293327788871
IMPERIAL,2022,1,174528,11607.55541052778
INYO,2021,1,18546,26487.589612951873
KERN,2016,2,839631,21141.16971080088
KINGS,2016,2,152982,3604.053256653724
LAKE,2012,3,64665,3443.201836114626
LASSEN,2021,1,34895,12225.043258250083
LOS ANGELES,2022,1,9818605,12305.38891561315
MADERA,2015,2,150865,5577.057432476934
MARIN,2023,1,252409,2144.997369417779
MARIPOSA,2019,2,18251,3788.6908600343054
MENDOCINO,2020,1,87841,10044.377350098326
MERCED,2016,2,255793,5124.685719979726
MODOC,2019,2,9686,10886.3862317517
MONO,2023,1,14202,8111.525692588783
MONTEREY,2016,2,415057,9767.433615591335
NAPA,2023,1,136484,2042.4157978014305
NEVADA,2020,1,98764,2522.120266640404
ORANGE,2024,1,3010232,2455.310770222116
PLACER,2021,1,348432,3890.820910366544
PLUMAS,2019,2,20007,6768.789085607256
RIVERSIDE,2024,1,2189641,18915.138474147123
SACRAMENTO,2022,1,1418788,2575.257946817628
SAN BENITO,2016,2,55269,3601.310719114015
SAN BERNARDINO,2020,1,2035210,52071.98126822256
SAN DIEGO,2021,1,3095313,11721.351279717095
SAN FRANCISCO,2022,1,805235,600.594362586297
SAN JOAQUIN,2016,2,685306,3695.304271510624
SAN LUIS OBISPO,2020,1,269637,9364.133962721413
SAN MATEO,2015,2,718451,1919.069237438886
SANTA BARBARA,2024,1,423895,9813.822928070094
SANTA CLARA,2015,2,1781642,3377.4868046578677
SANTA CRUZ,2024,1,262382,1572.5397987389067
SHASTA,2020,1,177223,9964.709958996827
SIERRA,2019,2,3240,2491.993925209465
SISKIYOU,2023,1,44900,16441.08863865014
SOLANO,2024,1,413344,2347.028652336636
SONOMA,2023,1,483878,4578.944480719052
STANISLAUS,2016,2,514453,3921.0192120429574
SUTTER,2011,3,94737,1575.9811110858416
TEHAMA,2009,4,63463,7671.999638795472
TRINITY,2019,2,13786,8307.676618785104
TULARE,2015,2,442179,12532.10121235461
TUOLUMNE,2018,2,55365,5890.81260919177
VENTURA,2020,1,823318,5719.337122133949
YOLO,2023,1,200849,2650.9457570492114
YUBA,2021,1,72155,1667.9721185714873
