Alameda,1510271
Alpine,1175
Amador,38091
Butte,220000
Calaveras,45578
Colusa,21419
Contra Costa,1049025
Del Norte,28610
El Dorado,181058
Fresno,930450
Glenn,28122
Humboldt,134623
Imperial,174528
Inyo,18546
Kern,839631
Kings,152982
Lake,64665
Lassen,34895
Los Angeles,9818605
Madera,150865
Marin,252409
Mariposa,18251
Mendocino,87841
Merced,255793
Modoc,9686
Mono,14202
Monterey,415057
Napa,136484
Nevada,98764
Orange,3010232
Placer,348432
Plumas,20007
Riverside,2189641
Sacramento,1418788
San Benito,55269
San Bernardino,2035210
San Diego,3095313
San Francisco,805235
San Joaquin,685306
San Luis Obispo,269637
San Mateo,718451
Santa Barbara,423895
Santa Clara,1781642
Santa Cruz,262382
Shasta,177223
Sierra,3240
Siskiyou,44900
Solano,413344
Sonoma,483878
Stanislaus,514453
Sutter,94737
Tehama,63463
Trinity,13786
Tulare,442179
Tuolumne,55365
Ventura,823318
Yolo,200849
Yuba,72155
